x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 16, coll: 6
x: 7, y: 17, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
x: 7, y: 9, coll: 6
x: 7, y: 8, coll: 6
x: 7, y: 7, coll: 6
x: 7, y: 6, coll: 6
x: 7, y: 5, coll: 6
x: 7, y: 4, coll: 6
x: 7, y: 3, coll: 6
x: 7, y: 2, coll: 6
